UniqueKey,Ranking,Resight ID,Name,Total,Badge,Rank,Reputation score,Reputation rank badge,R Peers,R Directories,R News media,R Social media,Instructions score,Instructions rank badge,I Volume,I Value,I Clients,I Complexity
,Competition,IND02652,Simran Dhir,5.3,,37,3.1,,0,7.5,7.8,4.8,6.8,,5.3,-,9.2,6
,Competition,IND01474,Abhay Joshi,5.2,,38,2.8,,0,7.1,3.6,8.4,7.5,,4.8,-,8.2,8.5
,Competition,IND01772,Unnati Agrawal,5.2,,39,2.8,,0,5.8,5.4,8,7.3,,2.8,-,9.3,8.5
,Competition,IND02656,Akshat Kulshrestha,5.1,,40,2.3,,0,5.8,2.6,7.5,7.2,,5.3,-,9.2,7
,Cyber,IND00757,Nikhil Narendran,9,Ranked 1st,1,9.8,Ranked 1st,10,9.6,9.7,9.7,9.3,Ranked 2nd,9.6,-,10,9
,Cyber,IND03226,Mathew Chacko,8,Ranked 2nd,2,8.1,Ranked 2nd,7.5,9.2,7.9,10,8.7,Top 5,7.5,-,10,8.5
,Cyber,IND00235,Supratim Chakraborty,7.7,Ranked 3rd,3,7,Top 5,6,6.6,9.3,9.4,8.8,Ranked 3rd,7.7,-,9.4,9
,Cyber,IND00734,Jyotsna Jayaram,7.6,Top 5,4,6.9,Top 10,6,7.8,7.7,8.2,8.7,Top 5,9.5,-,10,8
,Cyber,IND00298,Arun Prabhu,7.2,Top 5,5,7.2,Top 5,6,7.5,10,8.5,7.5,,8,-,8.2,7
,Cyber,IND07527,Nehaa Chaudhari,7.1,Top 10,6,6.3,Top 10,5,8.7,6.9,7.9,7.9,,6.2,-,9,7.5
,Cyber,IND02023,Probir Roy Chowdhury,6.7,Top 10,7,5.4,Top 10,3.5,6.6,9,7.8,8.5,Top 10,9.2,-,9,8
,Cyber,IND07530,Sreenidhi Srinivasan,6.6,Top 10,8,4.7,Top 10,3.5,6,5.2,7.7,8.1,Top 10,0,-,0,0
,Cyber,IND02052,Sajai Singh,6.5,Top 10,9,8.1,Ranked 3rd,6.8,10,8.7,10,5.6,,8.4,-,0,7
,Cyber,IND01749,Ranjana Adhikari,6.4,Top 10,10,3.3,,0,7.8,6.3,8.2,8.5,Top 10,6.8,-,8.3,9.5
,Cyber,IND00732,Jaideep Reddy,6.2,,11,3.5,,0,7.1,8,8.7,8.3,Top 10,7,-,9.3,8.5
,Cyber,IND04874,Akash Karmakar,6.2,,12,3.2,,0,5.3,8.1,9.2,9.7,Ranked 1st,10,-,9.8,9.5
,Cyber,IND00095,Harsh Walia,5.9,,13,3.9,Top 10,0,8.2,9.4,8.2,7.5,,7.4,-,8.5,7
,Cyber,IND01762,Shreya Suri,5.7,,14,3.1,,0,5.3,8.6,7.9,8.1,Top 10,8.1,-,9.5,7.5
,Cyber,IND00455,Hemant Krishna,5.8,,15,3.1,,0,5.3,8,8.5,6.1,,5.9,-,8.7,5
,Cyber,IND05097,Aadya Misra,5.3,,16,3.3,,0,6,8.5,8.3,7.1,,7.8,-,4.8,8
,Cyber,IND00291,Anirban Mohapatra,5.3,,17,2,,0,6,0,7.9,7.6,,6.5,-,8.9,7.5
,Cyber,IND01738,Namita Viswanath,5.1,,18,3.6,,0,8.7,7.1,8,5.9,,8,-,4.8,5.5
,Cyber,IND04894,Rishi Anand,4,,19,3.3,,0,7.1,6.2,9.7,3.5,,4.1,-,0,5
,Cyber,IND07526,Utham Chengappa,3.1,,20,1.8,,0,5.3,0,7,4,,6.2,-,0,5.5
,Infrastructure,IND00755,Neeraj Menon,8.7,Ranked 1st,1,9.8,Ranked 1st,9.7,10,10,9.2,8.3,Top 10,5.8,6.6,9.8,9.5
,Infrastructure,IND01897,Amit Kapur,8.4,Ranked 2nd,2,9,Ranked 3rd,8.5,10,9.8,8.9,8.6,Top 5,6.4,7.9,8.5,10
,Infrastructure,IND00462,Jatin Aneja,7.8,Ranked 3rd,3,7.6,Top 10,6.5,10,8.8,7.4,8.6,Top 5,4.7,7.7,9.8,9.5
,Infrastructure,IND01697,Hemant Sahai,7.7,Top 5,4,7.7,Top 5,6.5,10,8.8,8.2,7.9,,7.9,7.1,7,9.5
,Infrastructure,IND00754,Nayantara Nag,7.7,Top 5,5,7.7,Top 5,7.1,8.7,7.9,8.9,7.8,,4.4,6.5,8.9,9
,Infrastructure,IND00342,L Viswanathan,7.5,Top 10,6,9.2,Ranked 2nd,9.5,8.2,10,8.8,6.1,,7.7,0,9.7,8
,Infrastructure,IND00022,Akhil Bhatnagar,7.2,Top 10,7,5.7,Top 10,5.7,3.2,6.7,8.9,8,,5.1,7.7,8.4,9
,Infrastructure,IND02732,Avirup Nag,7.1,Top 10,8,6.6,Top 10,5.7,8.5,6.9,7.6,7.9,,5.1,7.4,9.2,8
,Infrastructure,IND00568,Anuja Tiwari,6.6,Top 10,9,5.7,Top 10,3.4,8.5,8.3,8.7,7.6,,5.3,5.4,9.8,8.5
,Infrastructure,IND00079,Gahan Singh,6.2,Top 10,10,3.5,,3.4,3.2,7,0,8.2,Top 10,7.8,6.8,9.6,8.5
,Infrastructure,IND02740,Mohit Saraf,6.2,,11,3.9,,0,8.2,8.3,10,7.6,,5.1,6.8,8.2,8.5
,Infrastructure,IND01264,Anjan Dasgupta,5.9,,12,3.8,,0,9.2,7.2,9.1,8.1,,6.6,8.1,7.3,9.5
,Infrastructure,IND06176,Manasvini Raj,5.7,,13,1.8,,0,0,6.2,8.2,8.7,Ranked 2nd,8.7,7.1,9.4,9.5
,Infrastructure,IND00070,Dibyanshu Sinha,5.7,,14,3.5,,0,8.7,6.9,7.2,6.9,,5.3,4.5,8.7,8
,Infrastructure,IND00398,Subhalakshmi Naskar,5.7,,15,4.8,Top 10,4.7,3.2,5.9,6.9,5.5,,5.7,0,8,8.5
,Infrastructure,IND00381,Sangita John,5.6,,16,1.8,,0,0,7.6,6.9,8.7,Ranked 3rd,7.9,8,10,8.5
,Infrastructure,IND00401,Surya Sreenivasan,5.6,,17,1.9,,0,0,7.7,7.9,8.4,Top 10,7.1,7.3,8.8,9.5
,Infrastructure,IND00364,Ramanuj Kumar,5.5,,18,1.9,,0,0,8.1,7.3,9.5,Ranked 1st,7.9,10,9.9,9
,Infrastructure,IND02943,Akshay Malhotra,5.5,,19,2.9,,0,5.3,6.3,8.5,7.7,,5.5,6,9.5,8.5
,Infrastructure,IND01472,Aakanksha Joshi,5.5,,20,4.1,,0,9.6,9,8.1,7.4,,4.7,7.2,8.4,7.5
,Infrastructure,IND01701,Soumya Malik,5.5,,21,3.1,,0,5.3,8.2,7.9,7.6,,7.4,7.3,6.1,9.5
,Infrastructure,IND07529,Deepak Sabharwal,5.5,,22,1.9,,0,0,6.7,9.1,8.2,Top 10,7,7.6,9.3,8
,Infrastructure,IND00609,Aditya Periwal,5.4,,23,3.8,,3.4,0,7.6,8.3,6.3,,5.3,4.5,5.7,9
,Infrastructure,IND02631,Gunita Pahwa,5.4,,24,2.1,,0,0,8.2,8.5,8.4,Top 10,7.1,6.7,9.8,9
,Infrastructure,IND02538,Pallavi Bedi,5.4,,25,3.7,,0,8.5,8.2,8.1,7.3,,5.8,6.6,7.3,8.5
,Infrastructure,IND00211,Shivanshu Thaplyal,5.3,,26,2.3,,0,3.2,5.9,8.3,7.3,,8,6.8,6.3,8.5
,Infrastructure,IND00652,Mallika Anand,5.2,,27,1.9,,0,0,7.7,7.6,7.5,,6,4.6,9.5,9
,Infrastructure,IND02647,Pratichi Mishra,5.1,,28,1.3,,0,0,4.2,7.2,7.6,,5.7,6.5,8.4,8.5
,Infrastructure,IND00988,Ranjit Prakash,4.9,,29,2,,0,0,8.3,7.2,7.9,,10,9.7,4.7,8.5
,Infrastructure,IND00699,Amar Narula,4.8,,30,2.6,,0,3.2,7.6,8,5.9,,5.5,0,8.7,9
,Infrastructure,IND06293,Gayatri Shanker,4.7,,31,1.1,,0,0,4.5,4.7,7,,5.3,4.5,7.4,9.5
,Infrastructure,IND00779,Riyaz Bhagat,4.7,,32,1.8,,0,0,7,7.7,5.9,,3.1,0,9.7,9
,Infrastructure,IND02710,Sitara Pillai,4.4,,33,1.5,,0,0,7.2,4.1,7.2,,5.7,5.7,9.8,6.5
,Infrastructure,IND02553,Sameer Jain,4.3,,34,2.1,,0,0,8.1,9,4.8,,6.2,0,5.5,8.5
,Infrastructure,IND01692,Monali Dutta,4.2,,35,1.9,,0,0,7.9,7.2,5.6,,6.7,7.9,1,7.5
,Infrastructure,IND01504,Megha Agarwal,4,,36,2.3,,0,1,8.4,8.3,4.3,,5.3,4.5,0,8
,International Trade,IND01522,Sanjay Notani,9.1,Ranked 1st,1,9.3,Ranked 1st,9,9.6,10,10,9.8,Ranked 2nd,10,-,10,9.6
,International Trade,IND02274,V. Lakshmikumaran,9,Ranked 2nd,2,8.5,Ranked 2nd,10,8.2,8.8,0,10,Ranked 1st,10,-,10,10
,International Trade,IND02203,Devinder Bagia,8,Ranked 3rd,3,7.5,Ranked 3rd,7.6,6.6,7.4,8.8,9.5,Ranked 3rd,9.5,-,10,9.3
,International Trade,IND00723,Dhruv Gupta,7.6,Top 5,4,6.4,Top 5,5.5,7.5,6.7,8.8,8.9,Top 10,9.5,-,8.9,8.7
,International Trade,IND01511,Parthsarathi Jha,7.5,Top 5,5,7,Top 5,8.3,7.1,0,9.8,8.5,Top 10,6.7,-,9.6,8.8
,International Trade,IND07689,Atul Sharma,7.2,Top 10,6,-,,-,-,-,-,-,,-,-,-,-
,International Trade,IND07621,Reena Khair,6.4,Top 10,7,4.1,Top 10,0,9.2,9.1,9.4,8.5,,8.5,-,8.4,8.5
,International Trade,IND07657,Seetharaman Sampath,6.2,Top 10,8,4.1,Top 10,0,10,9.2,7.2,9.1,Top 5,8.2,-,9.4,9.3
,International Trade,IND07570,Anuradha R V,6.1,Top 10,9,3.4,Top 10,0,7.5,6.5,9.1,8.9,Top 10,8.9,-,9,8.8
,International Trade,IND02193,Ankur Sharma,6.2,Top 10,10,3.3,Top 10,0,7.1,6.5,8.8,9.2,Top 5,8.4,-,9.6,9.3
,International Trade,IND01267,Ashish Chandra,5.8,,11,3.2,Top 10,0,8.7,3.8,8.9,8.6,Top 10,8.8,-,8.5,8.6
,International Trade,IND00121,Mayank Jain,5.3,,12,2.2,,0,0,9,8.2,7.8,,7.9,-,8.8,7.5
,International Trade,IND00968,Anu Monga,5.3,,13,2.1,,0,0,8,8.7,8.6,Top 10,8.6,-,8.7,8.5
,International Trade,IND00059,Ayush Mehrotra,5.7,,14,1.9,,0,0,6,9.8,8.4,,7.6,-,8.6,8.6
,International Trade,IND02646,Ajinkya Gunjan Mishra,5.3,,15,2.4,,0,0,9.4,10,7.6,,8.6,-,8.3,7
,International Trade,IND02989,Rajat Agarwal,5.2,,16,1.3,,0,0,3.2,8.4,8.3,,7.8,-,8.4,8.5
,International Trade,IND00250,Udayan Choksi,4.5,,17,0.9,,0,0,0,9.4,7.5,,6.8,-,8,7.5
,Private Capital,IND00569,Ashwath Rau,8.7,Ranked 1st,1,10,Ranked 1st,10,8.4,4.2,-,10,Ranked 1st,7,10,8.5,-
,Private Capital,IND00508,Raghubir Menon,7.7,Ranked 2nd,2,9.1,Ranked 2nd,9.1,5.2,3.8,-,8.9,Ranked 2nd,3.4,5.9,9.94,-
,Private Capital,IND00370,Reeba Chacko,6.5,Ranked 3rd,3,8.1,Ranked 3rd,6.3,6,2.7,-,8,Top 5,2.8,4.1,9.62,-
,Private Capital,IND00729,Harsh Maggon,5.8,Top 5,4,6.5,Top 10,3.4,0,5.6,-,8.3,Ranked 3rd,4,4,10,-
,Private Capital,IND02118,Vikram Raghani,5.8,Top 5,5,7.2,Top 5,5,4.1,6.7,-,8,Top 5,3.8,5.3,6.75,-
,Private Capital,IND00600,Vaidhyanadhan Iyer,5.7,Top 10,6,6.4,Top 10,3.1,0.8,5.6,-,7.3,Top 10,4.2,9.4,5.24,-
,Private Capital,IND00580,Nandish Vyas,5.6,Top 10,7,6.9,Top 5,4.4,3.4,5.8,-,7.2,Top 10,1.8,3.2,8.46,-
,Private Capital,IND00092,Haigreve Khaitan,5.2,Top 10,8,6.1,,1.6,5.5,7.1,-,6.8,,2.4,7,5.88,-
,Private Capital,IND00760,Nishant Parikh,4.7,Top 10,9,6.8,Top 10,3.1,6.3,5.6,-,6.6,,7,5,4.19,-
,Private Capital,IND00391,Shishir Jose Vayttaden,4.6,Top 10,10,5.9,,3.1,3.6,2.7,-,5.6,,2,4.4,4.08,-
,Private Capital,IND02937,Sonali Mahapatra,4.6,,11,6.2,,2.8,3.6,4.4,-,7,,3.4,4,7.11,-
,Private Capital,IND00573,Darshika Kothari,4.5,,12,5.4,,1.6,1.8,6.2,-,7.1,,2.8,5.3,6.92,-
,Private Capital,IND00782,Sai Krishna Bharathan,4.5,,13,5.4,,2.2,0,5.1,-,7.4,Top 10,6,4.3,6.8,-
,Private Capital,IND00566,Anil Kasturi,4.5,,14,6.4,Top 10,1.3,8,2.7,-,4.7,,2,2.5,2.66,-
,Private Capital,IND02976,Abhijit Joshi,4.4,,15,5.5,,0.9,3.7,8.3,-,7.3,Top 10,4,0,8.06,-
,Private Capital,IND02949,Gautam Saha,4.4,,16,6.4,Top 10,2.5,6.5,5.9,-,6.3,,8,7.2,1.15,-
,Private Capital,IND00736,Kannan Rahul,4.3,,17,5.6,,1.6,2.7,3.8,-,6.3,,2,3.2,6.32,-
,Private Capital,IND00458,Iqbal Khan,4.3,,18,6.1,,2.5,3.8,8.6,-,5.7,,2,6.9,3.35,-
,Private Capital,IND00369,Ravindra Bandhakavi,4.3,,19,6.2,,1.3,6.9,4.9,-,5.8,,4.4,3.8,3.89,-
,Private Capital,IND00060,Bharat Anand,4.2,,20,5.1,,1.3,0.6,7.7,-,6.1,,4.2,3,4.84,-
,Private Capital,IND00132,Nikhil Narayanan,4.2,,21,5.5,,1.9,0,0,-,5.3,,2.8,5.7,2.5,-
,Private Capital,IND00106,Kartick Maheshwari,4.2,,22,-,,1.9,1.5,4.4,-,-,,3.2,5.4,4.38,-
,Private Capital,IND00463,Jay Gandhi,4.2,,23,5.5,,0.9,3.6,4.4,-,6.6,,2.6,5.3,4.91,-
,Private Capital,IND00594,Roxanne Anderson,4.1,,24,5.4,,1.9,0.8,3.8,-,6.3,,0.2,1.6,6.68,-
,Private Capital,IND00356,Nivedita Rao,4.1,,25,5.2,,1.9,0.8,3.8,-,6.4,,1.4,3.2,6.68,-
,Private Capital,IND00596,Srinath Dasari,4.1,,26,5.8,,1.3,4.8,3.8,-,5.2,,2.6,2.1,2.78,-
,Private Capital,IND00164,Rabindra Jhunjhunwala,4.1,,27,3,,0,0.6,0,-,6.2,,2.8,3.8,5.32,-
,Private Capital,IND00724,Ganesh Rao,4,,28,5.2,,0.6,0,3.4,-,7.9,Top 10,6,4.3,8.16,-
,Private Capital,IND00218,Siddarth Shah,4,,29,6,,1.3,5.5,9.8,-,6.2,,3.4,5.4,4.46,-
,Private Capital,IND00701,Amit Khansaheb,4,,30,6.2,,1.6,6,4.2,-,6,,6,4.3,2.4,-
,Private Capital,IND00477,Manish Gupta,4,,31,5.2,,0.3,3.6,5.8,-,6.4,,10,3.5,3.13,-
,Private Capital,IND00130,Nidhi Killawala,4,,32,4.3,,0.6,0.8,5.3,-,6.5,,3.4,3,6.22,-
,Private Capital,IND00074,Divaspathi Singh,3.9,,33,4.2,,0.9,0,0,-,6.1,,6.8,4.4,3.41,-
,Private Capital,IND02476,Nishchal Joshipura,3.7,,34,5.2,,0.3,3.2,7.8,-,6,,2,4.4,4.87,-
,Private Capital,IND04763,Pranav Sharma,3.6,,35,5.5,,1.3,2.7,4.4,-,5,,2.6,2.1,3.16,-
,Private Capital,IND00813,Yogesh Singh,3.6,,36,3.6,,0.3,0.6,0,-,5.7,,4,4.3,3.53,-
,Private Capital,IND01232,Gunjan Shah,3.5,,37,-,,1.3,2.8,5.3,-,-,,2.6,5.3,4.94,-
,Private Capital,IND00765,Pranav Atit,3.5,,38,4.8,,0.3,2.1,4.4,-,4.9,,2.2,3.2,2.62,-
,Private Capital,IND01707,Winnie Sherkhar,3.5,,39,5.1,,0,3.6,0,-,5.8,,10,2.1,2.21,-
,Private Capital,IND00582,Nanditha Gopal,3.5,,40,5,,0.3,2.4,4.4,-,5.6,,2.4,1.6,5.07,-
,Private Capital,IND03027,Siddhart Srivastava,3.5,,41,4,,0,1.8,0,-,5.3,,2.2,2.5,3.98,-
,Private Capital,IND01737,Minhaz Lokhandwala,3.5,,42,3.9,,0.3,1,5.6,-,6.6,,8.4,2.5,4.74,-
,Private Capital,IND00261,Vivek Mamani,3.4,,43,4.2,,0,2.1,3.4,-,4.7,,5,3,1.13,-
,Private Capital,IND00696,Aditya Jha,3.3,,44,5.3,,0.9,2.8,3.8,-,5.7,,6,4.3,2.69,-
,Private Capital,IND01585,Shuva Mandal,3.3,,45,-,,1.6,2.7,6.2,-,-,,1,3,2.29,-
,Private Capital,IND02506,Sharda Balaji,3.3,,46,4.5,,0,2.4,8.2,-,5.6,,0,0,6.68,-
,Private Capital,IND00066,Deepak Jodhani,3.2,,47,4.3,,0.6,0.8,4.9,-,4.9,,2.2,3.2,2.73,-
,Private Capital,IND00398,Subhalakshmi Naskar,3.1,,48,4.2,,0.9,0,3.4,-,6.4,,1.4,1.6,7.27,-
,Private Capital,IND02081,Siddharth Mody,2.9,,49,4.8,,0.9,0.6,7.1,-,6.4,,7.6,2.1,3.72,-
,Private Capital,IND00378,S. Harish,2.8,,50,5.2,,0.9,2.1,5.8,-,4.8,,2.8,4.3,1.73,-
