Resight ID,Ranking,@Image path,Name,Position,Location,Organisation,Bio,Total,Badge,Rank,Reputation score,Reputation rank badge,R Peers,R Directories,R News media,R Social media,Instructions score,Instructions rank badge,I Volume,I Value,I Clients,I Complexity,Sophistication score,Sophistication rank badge,S Tech and data,S Pricing,S Talent development,Experience score,Experience rank badge,E Service,E Expertise,E Commerciality,E Communication,E EQ,E Strategy,E Network,E Leadership
IND07528,Capital Markets - Debt,Photos/Niloufer Lam.webp,Niloufer Lam,Founding Partner,Mumbai,NL LEGAL,,5.9,,7,3.9,Top 10,0,10,6.7,9.2,8.7,Ranked 3rd,8.6,8.7,7.4,9.2,4.5,Top 10,2.7,5,6,-,,-,-,-,-,-,-,-,-
IND02534,Capital Markets - Debt,Photos/Aditya Bhargava.png,Aditya Bhargava,Partner,Mumbai,Trilegal,,5.5,,8,2.5,Top 10,0,4.9,10,0,7,Top 10,8.5,6.6,0,9.8,8.5,Ranked 1st,9.3,6,9,9.8,Ranked 1st,9.6,9.6,10,9.6,9.6,10,10,9.6
IND00398,Capital Markets - Debt,Photos/Subhalakshmi Naskar.jpg,Subhalakshmi Naskar,Partner,Mumbai,Cyril Amarchand Mangaldas,,5.3,,9,3,Top 10,0,4.7,7.5,9.2,6.2,Top 10,0,0,8.8,0,7.9,Ranked 3rd,7.3,7,9,8.3,Top 5,10,10,10,10,10,8,10,10
IND02750,Capital Markets - Debt,Photos/Satadru-Goswami.png,Satadru Goswami,Partner,Mumbai,Saraf and Partners,,4.7,,10,1.5,Top 10,0,0,3.9,9.6,6.5,Top 10,4.1,5.3,7.4,7.5,7.5,Top 5,7.3,7,8,-,,-,-,-,-,-,-,-,-
IND00759,Competition,Photos/Nisha-Kaur-Uberoi-profile-picture.jpg,Nisha Kaur Uberoi,Partner,Mumbai,JSA Advocates & Solicitors,,9,Ranked 1st,1,9.6,Ranked 1st,9.9,10,8,10,10,Ranked 1st,10,-,10,10,5.7,,3.3,6,8,8.1,,10,10,8,10,10,10,10,8
IND00454,Competition,Photos/harman-singh-sandhu.png,Harman Singh Sandhu,Partner,Delhi,Shardul Amarchand Mangaldas & Co,,9,Ranked 2nd,2,9.3,Ranked 2nd,10,9.9,7.9,7,9.1,Top 10,7.4,-,10,9.5,7.9,Top 10,-,-,10,7.6,,10,10,8,8,10,8,8,8
IND00301,Competition,Photos/avantika kakkar.jpg,Avaantika Kakkar,Partner (Head - Competition Law),Mumbai,Cyril Amarchand Mangaldas,,8.7,Ranked 3rd,3,9,Ranked 3rd,8.7,10,8.7,9.1,9.2,Top 5,8.9,-,9.9,9,7.2,,6,8,8,9.1,Top 10,10,10,10,9,10,10,8,9
IND01030,Competition,Photos/Samir Gandhi.png,Samir R Gandhi,Partner,Delhi,Axiom5,,8.6,Top 5,4,8.3,Top 5,8.5,9,6.4,8.3,9.1,Top 10,8.3,-,9.9,9,8.4,Ranked 3rd,8,8,9,9.8,Ranked 1st,10,10,10,10,10,10,7.6,10
IND01160,Competition,Photos/Karan Chandhiok.jpg,Karan Chandhiok,Partner & Head of Competition and Disputes,,Chandhiok & Mahajan,,8.5,Top 5,5,8.4,Top 5,8.3,9.7,6.9,8.6,9,Top 10,7.9,-,8.3,10,7.6,Top 10,8,8,7,9.5,Top 5,10,10,10,10,10,10,10,10
IND00590,Competition,Photos/Ram-Kumar-Poornachandran.png,Ram Kumar Poornachandran,Senior Partner,Delhi,AZB & Partners,,8.3,Top 10,6,7.9,Top 10,8,9.5,4.9,8,9,,8.5,-,9.1,9,7.7,Top 10,6.7,5,10,8.8,Top 10,9,9,9,9,9,9,9,9
IND00553,Competition,Photos/yaman-verma.png,Yaman Verma,Partner,Delhi,Shardul Amarchand Mangaldas & Co,,8,Top 10,7,6.7,,6.5,7.5,5.4,8,9.8,Ranked 2nd,10,-,10,9.5,7.1,,7.3,7,-,8.3,,10,10,8,10,10,10,10,10
IND00038,Competition,Photos/Anshuman Sakle 2025 web_0.png,Anshuman Sakle,Partner,Mumbai,Khaitan & Co,,7.9,Top 10,8,8.1,Top 10,6.9,9.2,10,9.3,8.3,,7.5,-,9.4,8,6.9,,6.7,7,7,8.5,Top 10,10,10,10,10,10,10,10,10
IND01031,Competition,Photos/rahul rai.png,Rahul Rai,Partner,Delhi,Axiom 5,,7.9,Top 10,9,6.9,Top 10,7.2,6.3,5.6,8.5,8.9,,8.4,-,9.9,8.5,7.6,,8,8,7,9.8,Ranked 2nd,10,10,9.6,9.6,9.6,9.6,9.6,9.6
IND00628,Competition,Photos/Bharat-Budholia-e1637655967207.png,Bharat Budholia,Partner,Mumbai,AZB & Partners,,7.9,Top 10,10,7.8,Top 10,7.2,9,7.4,8.7,8.8,,8.5,-,9.6,8.5,6.1,,9.6,5,6,7.9,,10,10,8,10,10,8,8,10
IND00490,Competition,Photos/naval-chopra.png,Naval Satarawala Chopra,Partner,Delhi,Shardul Amarchand Mangaldas & Co,,7.7,,11,6.9,,6.1,8.3,6.9,8.7,8.2,,7.4,-,8.3,8.5,8.3,Top 5,9.3,7,8,-,,-,-,-,-,-,-,-,-
IND00537,Competition,Photos/Shweta-Shroff.png,Shweta Shroff Chopra,Partner,Delhi,Shardul Amarchand Mangaldas & Co,,7.6,,12,6.7,,4.9,9.7,7.9,8.7,8,,6.6,-,9.8,7.5,8.7,Ranked 1st,8.7,8,9,7.9,,10,10,10,10,10,8,8,8
IND00118,Competition,Photos/Manas Kumar Chaudhuri.png,Manas Kumar Chaudhuri,Partner,Delhi,Khaitan & Co,,7.5,,13,5.9,,4.1,10,5.6,7.9,9.1,Top 10,8.3,-,9,9.5,7.7,Top 10,6.7,7,9,8.5,Top 10,10,10,10,10,10,10,10,10
IND00639,Competition,Photos/Hemangini-dadwal-3.jpg,Hemangini Dadwal,Partner,Delhi,AZB & Partners,,7.5,,14,6.7,,6.5,7.5,5.9,7.2,8.7,,8.7,-,9.6,8,6.9,,6.7,7,-,8.5,,10,10,10,10,10,10,10,10
IND00033,Competition,Photos/Anisha Chand.jpg,Anisha Chand,Partner,Mumbai,Khaitan & Co,,7.2,,15,6.8,,6.5,7.5,5.9,8.4,7.2,,8.2,-,7.4,6.5,8.1,Top 5,6.7,9,9,8.3,,10,10,10,8,10,10,10,10
IND01516,Competition,Photos/Ravisekhar Nair.jpg,Ravisekhar Nair,Partner,Bengaluru,Economic Laws Practice,,7.1,,16,6.1,,4.9,8.8,5.8,7.5,8.5,,6.4,-,9.5,9,6.5,,4.7,7,8,8.5,,10,10,10,10,10,10,10,10
IND00780,Competition,Photos/Rudresh-Singh.png,Rudresh Singh,Partner,Delhi,Trilegal,,7,,17,5.8,,4.9,6.8,5.6,8.7,8.6,,9,-,10,7.5,6.3,,5.3,5,8,-,,-,-,-,-,-,-,-,-
IND00428,Competition,Photos/Aparna Mehra.png,Aparna Mehra,Partner,Delhi,Trilegal,,7,,18,7.5,Top 10,7.2,7.8,7.5,8.3,6.8,,7.2,-,7.6,6,6.5,,-,6,-,-,,-,-,-,-,-,-,-,-
IND02110,Competition,Vabhav-Choukse_profile-picture.jpg,Vaibhav Choukse,Partner,Delhi,JSA Advocates & Solicitors,,7,,19,5.4,,3,9.2,7.1,8.9,9.3,Ranked 3rd,8.6,-,9.8,9.5,5.5,,4.7,6,6,9.8,Ranked 3rd,10,9.4,10,9.4,9.4,9.4,10,10
IND01161,Competition,Photos/Deeksha manchanda.jpg,Deeksha Manchanda,Partner - Competition and Data Privacy,,Chandhiok & Mahajan,,7,,20,4.9,,3,8.3,4.6,8.8,8.8,,6.7,-,9.5,9.5,7.5,,7.3,7,8,-,,-,-,-,-,-,-,-,-
IND00726,Competition,Photos/gautam-chawla-1.png,Gautam Chawla,Partner,Delhi,Trilegal,,6.9,,21,6.3,,6.1,5.8,6.5,7.9,7.5,,7.1,-,9.9,6,7.1,,7.3,7,7,-,,-,-,-,-,-,-,-,-
IND02948,Competition,Photos/Sonam Mathur.jpg,Sonam Mathur,Partner,Delhi,TT&A,,6.8,,22,6,,4.1,8.8,7.5,8.2,8.1,,6.2,-,9.8,8,5.9,,5.3,5,-,9.3,Top 5,10,10,9,10,10,9,10,10
IND00153,Competition,Photos/Pranjal Prateek_0.png,Pranjal Prateek,Partner,Delhi,Khaitan & Co,,6.7,,23,4.7,,3,7.5,5.2,8.2,8.1,,6.6,-,9.2,8,7.9,Top 10,8.7,6,8,8.5,,10,10,10,10,10,10,10,10
IND04713,Competition,Photos/Kirthi-Srinivas-Website-1.jpg,Kirthi Srinivas,Partner,,AZB & Partners,,6.7,,24,4.4,,3,5.1,6.5,8.2,9.1,Top 10,9.1,-,9.8,8.5,6.5,,6.7,7,6,8.5,,10,10,10,10,10,10,10,10
IND00314,Competition,Photos/Dhruv-Rajain.png,Dhruv Rajain,Partner,Delhi,Cyril Amarchand Mangaldas,,6.7,,25,5.4,,4.9,5.1,5.9,7.5,8,,7.8,-,9.6,7,6.7,,6.7,8,6,7.4,,10,8,8,10,8,8,8,8
IND00511,Competition,Photos/Rohan-Arora.png,Rohan Arora,Partner,Delhi,Shardul Amarchand Mangaldas & Co,,6.2,,26,4.7,,4.1,5.1,4.9,7.3,7.6,,7.4,-,9.5,6.5,6.5,,7.3,6,6,8.3,,10,10,8,10,10,10,10,10
IND00451,Competition,Photos/Gauri-Chhabra.png,Gauri Chhabra,Partner,Mumbai,Trilegal,,6.2,,27,3.7,,4.1,0,4.6,7.6,7.4,,5.8,-,9.5,7,8.5,Ranked 2nd,8.7,7,9,-,,-,-,-,-,-,-,-,-
IND07656,Competition,Photos/abir-roy-neww.png,Abir Roy,Co-founder & Partner,,Sarvada Legal,,6.1,,28,5.3,,4.1,7.5,4.2,9.2,6.5,,10,-,0,9,6.6,,6,7,7,-,,-,-,-,-,-,-,-,-
IND00966,Competition,Photos/Rahul Goel.jpg,Rahul Goel,Partner,,AnantLaw,,5.9,,29,2.7,,0,5.1,5.8,8.5,8.9,,6.4,-,6.6,10,6.5,,-,6,-,-,,-,-,-,-,-,-,-,-
IND01511,Competition,Photos/Parthsarathi Jha.jpg,Parthsarathi Jha,Partner,"Delhi
Noida",Economic Laws Practice,,5.9,,30,3.6,,3,5.8,0,8.6,8,,5.9,-,9.8,8,6.3,,5.3,7,7,7.9,,8,10,8,10,8,10,10,10
IND01150,Competition,Photos/Avinash Amarnath.jpg,Avinash Amarnath,Partner & Head of Competition and Disputes,,Chandhiok & Mahajan,,5.9,,31,2.5,,0,5.8,3.6,8.3,8.6,,7.4,-,8.3,9.5,7.1,,6.7,6,8,8.1,,10,10,10,10,10,8,8,10
IND00968,Competition,Photos/Anu Monga.jpg,Anu Monga,Partner,,AnantLaw,,5.7,,32,2.7,,0,5.1,5.9,7.7,8.9,,6.4,-,6.6,10,5.4,,4,7,6,9,Top 10,9,10,10,10,9,9,9,9
IND01943,Competition,Photos/Ela-Bali-profile-picture-1200x432.jpg,Ela Bali,Partner,Delhi,JSA Advocates & Solicitors,,5.6,,33,1.7,,0,6.8,0,7.6,9.3,Top 5,8.6,-,9.6,9.5,6.1,,5.3,6,7,-,,-,-,-,-,-,-,-,-
IND03139,Competition,Photos/Vijay-Pratap-Singh-Chauhan.png,Vijay Pratap Singh Chauhan,Partner,Delhi,Cyril Amarchand Mangaldas,,5.6,,34,2.7,,0,6.8,3.6,8.3,8.1,,7.6,-,9.3,7.5,6.4,,6,8,6,8.3,,10,10,10,10,10,10,8,10
IND02231,Competition,Photos/Neelambera Sandeepan.jpg,Neelambera Sandeepan,Partner,Delhi,Lakshmikumaran & Sridharan,,5.3,,35,2.6,,0,4.2,6,8.2,7.6,,5.8,-,9.1,7.5,6.3,,4.7,6,8,-,,-,-,-,-,-,-,-,-
IND02909,Competition,Photos/Gaurav-Desai.png,Gaurav Desai,Partner,Delhi,Touchstone Partners,,5.3,,36,2.2,,0,5.1,3.6,6.9,7.6,,6.9,-,7.7,7,6.7,,6.7,6,-,8.1,,10,10,8,10,10,8,10,10
IND02652,Competition,Photos/Simran-Dhir-GS.jpg,Simran Dhir,Head Of Competition Law Practice,Delhi,S&R Associates,,5.3,,37,3.1,,0,7.5,7.8,4.8,6.8,,5.3,-,9.2,6,6.5,,5.3,6,8,7.9,,10,10,8,10,8,8,10,10
IND01474,Competition,Photos/Mr-Abhay-Joshi.jpg,Abhay Joshi,Partner,"Delhi
Noida",Economic Laws Practice,,5.2,,38,2.8,,0,7.1,3.6,8.4,7.5,,4.8,-,8.2,8.5,5.5,,5.3,5,6,-,,-,-,-,-,-,-,-,-
IND01772,Competition,Photos/Unnati-Agrawal-Copy.png,Unnati Agrawal,Partner,Delhi,CMS INDUSLAW,,5.2,,39,2.8,,0,5.8,5.4,8,7.3,,2.8,-,9.3,8.5,5.9,,4.7,8,6,8.5,,10,10,10,10,10,10,10,10
IND02656,Competition,Photos/Akshat-Kulshrestha-GS.jpg,Akshat Kulshrestha,Partner,Delhi,S&R Associates,,5.1,,40,2.3,,0,5.8,2.6,7.5,7.2,,5.3,-,9.2,7,6.7,,6.7,8,6,-,,-,-,-,-,-,-,-,-
IND00757,Cyber,Nikhil-Narendran-Partner-Trilegal.png,Nikhil Narendran,Partner,Bengaluru,Trilegal,,9,Ranked 1st,1,9.8,Ranked 1st,10,9.6,9.7,9.7,9.3,Ranked 2nd,9.6,-,10,9,6.7,Top 10,-,7,-,8.5,Top 5,10,10,10,10,10,10,10,10
IND03226,Cyber,Mathew Chacko.jpg,Mathew Chacko,Founding Partner,,Spice Route Legal,,8,Ranked 2nd,2,8.1,Ranked 2nd,7.5,9.2,7.9,10,8.7,Top 5,7.5,-,10,8.5,6.3,,4.7,8,-,-,,-,-,-,-,-,-,-,-
IND00235,Cyber,Supratim Chakraborty.png,Supratim Chakraborty,Partner,Kolkata,Khaitan & Co,,7.7,Ranked 3rd,3,7,Top 5,6,6.6,9.3,9.4,8.8,Ranked 3rd,7.7,-,9.4,9,6.9,Top 10,6.7,7,7,7.9,Top 10,8,10,10,8,8,10,10,10
IND00734,Cyber,Jyotsna-Web-1-1-1.png,Jyotsna Jayaram,Partner,Bengaluru,Trilegal,,7.6,Top 5,4,6.9,Top 10,6,7.8,7.7,8.2,8.7,Top 5,9.5,-,10,8,7,Top 10,8,7,6,8.5,Top 10,10,10,10,10,10,10,10,10
IND00298,Cyber,Arun-S.-Prabhu-1.png,Arun Prabhu,Partner (Head - Technology & Telecommunications),Bengaluru,Cyril Amarchand Mangaldas,,7.2,Top 5,5,7.2,Top 5,6,7.5,10,8.5,7.5,,8,-,8.2,7,6.8,Top 10,8,10,4,-,,-,-,-,-,-,-,-,-
IND07527,Cyber,Photos/Nehaa-Chaudhari.webp,Nehaa Chaudhari,Partner,,Ikigai Law,,7.1,Top 10,6,6.3,Top 10,5,8.7,6.9,7.9,7.9,,6.2,-,9,7.5,6.8,Top 10,6,8,-,-,,-,-,-,-,-,-,-,-
IND02023,Cyber,Probir ROy Chowdhaury.jpg,Probir Roy Chowdhury,Partner,Bengaluru,JSA Advocates & Solicitors,,6.7,Top 10,7,5.4,Top 10,3.5,6.6,9,7.8,8.5,Top 10,9.2,-,9,8,5.7,,5.3,6,6,7.9,Top 10,10,8,8,10,10,8,10,10
IND07530,Cyber,Sreenidhi Srinivasan.jpg,Sreenidhi Srinivasan,Partner,,Ikigai Law,,6.6,Top 10,8,4.7,Top 10,3.5,6,5.2,7.7,8.1,Top 10,0,-,0,0,7.7,Ranked 3rd,7.3,8,8,-,,-,-,-,-,-,-,-,-
IND02052,Cyber,Sajai-Singh-Profile-Picture.jpg,Sajai Singh,Partner,Bengaluru,JSA Advocates & Solicitors,,6.5,Top 10,9,8.1,Ranked 3rd,6.8,10,8.7,10,5.6,,8.4,-,0,7,5.2,,4,4,7,-,,-,-,-,-,-,-,-,-
IND01749,Cyber,Ranjana Adhikari.jpg,Ranjana Adhikari,Partner,Mumbai,Shardul Amarchand Mangaldas & Co,,6.4,Top 10,10,3.3,,0,7.8,6.3,8.2,8.5,Top 10,6.8,-,8.3,9.5,8.3,Ranked 1st,6.7,10,9,9,Ranked 3rd,9,10,10,10,9,9,8,10
IND00732,Cyber,jaideep-reddy-4.png,Jaideep Reddy,Partner,Bengaluru,Trilegal,,6.2,,11,3.5,,0,7.1,8,8.7,8.3,Top 10,7,-,9.3,8.5,7.5,Top 5,7.3,9,-,8.5,Top 10,10,10,10,10,10,10,10,10
IND04874,Cyber,Akash Karmakar.jpg,Akash Karmakar,Partner,Delhi,Panag & Babu,,6.2,,12,3.2,,0,5.3,8.1,9.2,9.7,Ranked 1st,10,-,9.8,9.5,5,,6,5,4,9.3,Ranked 2nd,10,10,10,10,10,10,8,10
IND00095,Cyber,Harsh Walia 2023-web.png,Harsh Walia,Partner,Delhi,Khaitan & Co,,5.9,,13,3.9,Top 10,0,8.2,9.4,8.2,7.5,,7.4,-,8.5,7,6.7,,7.3,7,6,-,,-,-,-,-,-,-,-,-
IND01762,Cyber,Shreya Suri.jpg,Shreya Suri,Partner,Delhi,CMS INDUSLAW,,5.7,,14,3.1,,0,5.3,8.6,7.9,8.1,Top 10,8.1,-,9.5,7.5,6.2,,6,7,6,-,,-,-,-,-,-,-,-,-
IND00455,Cyber,Hemant Krishna.png,Hemant Krishna,Partner,Bengaluru,Shardul Amarchand Mangaldas & Co,,5.8,,15,3.1,,0,5.3,8,8.5,6.1,,5.9,-,8.7,5,8.2,Ranked 2nd,10,7,-,-,,-,-,-,-,-,-,-,-
IND05097,Cyber,Aadya-Misra.webp,Aadya Misra,Counsel,,Spice Route Legal,,5.3,,16,3.3,,0,6,8.5,8.3,7.1,,7.8,-,4.8,8,5.7,,3.3,6,8,9.8,Ranked 1st,10,9.6,10,9.6,10,9.6,9.6,9.6
IND00291,Cyber,Anirban Mohapatra.jpg,Anirban Mohapatra,Partner,Bengaluru,Cyril Amarchand Mangaldas,,5.3,,17,2,,0,6,0,7.9,7.6,,6.5,-,8.9,7.5,7.4,Top 5,8,7,7,9,Top 5,10,9,10,9,10,8,10,9
IND01738,Cyber,Namita Viswanathan.webp,Namita Viswanath,Partner,Bengaluru,CMS INDUSLAW,,5.1,,18,3.6,,0,8.7,7.1,8,5.9,,8,-,4.8,5.5,6.5,,7.3,8,5,-,,-,-,-,-,-,-,-,-
IND04894,Cyber,Rishi-Anand.jpg,Rishi Anand,Partner,Delhi,DSK Legal,,4,,19,3.3,,0,7.1,6.2,9.7,3.5,,4.1,-,0,5,6.1,,5.3,6,7,8.5,Top 10,10,10,10,10,10,10,10,10
IND07526,Cyber,Utham Chengappa.jpg,Utham Chengappa,Partner,,Mani Chengappa & Mathur,,3.1,,20,1.8,,0,5.3,0,7,4,,6.2,-,0,5.5,4.1,,3.3,4,5,-,,-,-,-,-,-,-,-,-
IND00755,Infrastructure,Photos/Neeraj-menon-1.png,Neeraj Menon,Partner,"Delhi
Gurugram
Mumbai",Trilegal,,8.7,Ranked 1st,1,9.8,Ranked 1st,9.7,10,10,9.2,8.3,Top 10,5.8,6.6,9.8,9.5,7.3,,7.3,8,7,7.8,,10,10,8,8,8,10,10,8
IND01897,Infrastructure,Photos/Amit-Kapur-profile-picture-1024x369.jpg,Amit Kapur,Joint Managing Partner,Delhi,JSA Advocates & Solicitors,,8.4,Ranked 2nd,2,9,Ranked 3rd,8.5,10,9.8,8.9,8.6,Top 5,6.4,7.9,8.5,10,6.8,,4,8,9,8.5,,10,10,10,10,10,10,10,10
IND00462,Infrastructure,Photos/Jatin Aneja.png,Jatin Aneja,"National Practice Head - Infrastructure, Energy and Project Finance",Delhi,Shardul Amarchand Mangaldas & Co,,7.8,Ranked 3rd,3,7.6,Top 10,6.5,10,8.8,7.4,8.6,Top 5,4.7,7.7,9.8,9.5,6.7,,7.3,7,6,-,,-,-,-,-,-,-,-,-
IND01697,Infrastructure,Photos/Hemant Sahai.jpg,Hemant Sahai,Founding Partner,Delhi,HSA Advocates,,7.7,Top 5,4,7.7,Top 5,6.5,10,8.8,8.2,7.9,,7.9,7.1,7,9.5,7.5,Top 10,6.7,8,8,9.9,Ranked 2nd,9.4,10,10,10,10,10,10,10
IND00754,Infrastructure,Photos/nayantara-nag.png,Nayantara Nag,Partner,Gurugram,Trilegal,,7.7,Top 5,5,7.7,Top 5,7.1,8.7,7.9,8.9,7.8,,4.4,6.5,8.9,9,7.6,Top 10,8,8,7,7,,8,8,8,8,10,6,8,8
IND00342,Infrastructure,Photos/L Viswanathan.webp,L Viswanathan,"Partner & Chair of Finance, Projects, and Insolvency",Mumbai,Cyril Amarchand Mangaldas,,7.5,Top 10,6,9.2,Ranked 2nd,9.5,8.2,10,8.8,6.1,,7.7,0,9.7,8,6.9,,6.7,7,7,10,Ranked 1st,10,10,10,10,10,10,10,10
IND00022,Infrastructure,Photos/Akhil Bhatnagar_0.png,Akhil Bhatnagar,Partner,Mumbai,Khaitan & Co,,7.2,Top 10,7,5.7,Top 10,5.7,3.2,6.7,8.9,8,,5.1,7.7,8.4,9,8.5,Ranked 1st,8.7,7,9,8.3,,8,8,9,8,8,8,9,9
IND02732,Infrastructure,Photos/Avirup-Nag-1.jpg,Avirup Nag,Partner,Delhi,Saraf and Partners,,7.1,Top 10,8,6.6,Top 10,5.7,8.5,6.9,7.6,7.9,,5.1,7.4,9.2,8,6.7,,7.3,7,6,9.5,Top 10,10,10,10,10,10,10,10,10
IND00568,Infrastructure,Photos/Anuj Tiwari.webp,Anuja Tiwari,Senior Partner,Delhi,AZB & Partners,,6.6,Top 10,9,5.7,Top 10,3.4,8.5,8.3,8.7,7.6,,5.3,5.4,9.8,8.5,6.3,,6.7,10,4,-,,-,-,-,-,-,-,-,-
IND00079,Infrastructure,Photos/Gahan Singh.png,Gahan Singh,Partner,Mumbai,Khaitan & Co,,6.2,Top 10,10,3.5,,3.4,3.2,7,0,8.2,Top 10,7.8,6.8,9.6,8.5,7.5,Top 10,7.3,9,7,9.7,Ranked 3rd,9.4,10,10,10,9.4,9.4,9.4,9.4
IND02740,Infrastructure,Photos/Mohit Saraf.png,Mohit Saraf,Founder & Managing Partner,"Bengaluru
Delhi
Hyderabad
Mumbai",Saraf and Partners,,6.2,,11,3.9,,0,8.2,8.3,10,7.6,,5.1,6.8,8.2,8.5,7.9,Ranked 2nd,9.3,-,-,9.6,Top 10,10,9.2,9.6,9.6,9.2,9.6,9.2,9.2
IND01264,Infrastructure,Photos/Anjan-Dasgupta.jpg,Anjan Dasgupta,Partner,Mumbai,DSK Legal,,5.9,,12,3.8,,0,9.2,7.2,9.1,8.1,,6.6,8.1,7.3,9.5,5.5,,5.3,7,5,9.4,Top 10,10,10,10,10,10,10,9,10
IND06176,Infrastructure,Photos/Manasvini Raj.webp,Manasvini Raj,Partner,,Cyril Amarchand Mangaldas,,5.7,,13,1.8,,0,0,6.2,8.2,8.7,Ranked 2nd,8.7,7.1,9.4,9.5,7.8,Top 5,8,7,8,8.5,,10,10,10,10,10,10,10,10
IND00070,Infrastructure,Photos/Dibyanshu.png,Dibyanshu Sinha,Partner,Delhi,Khaitan & Co,,5.7,,14,3.5,,0,8.7,6.9,7.2,6.9,,5.3,4.5,8.7,8,7.8,Top 10,8,7,8,-,,-,-,-,-,-,-,-,-
IND00398,Infrastructure,Photos/Subhalakshmi Naskar.jpg,Subhalakshmi Naskar,Partner,Mumbai,Cyril Amarchand Mangaldas,,5.7,,15,4.8,Top 10,4.7,3.2,5.9,6.9,5.5,,5.7,0,8,8.5,7.9,Ranked 3rd,7.3,7,9,8.3,,10,10,10,10,10,8,10,10
IND00381,Infrastructure,Photos/Sangita John.webp,Sangita John,Partner,Mumbai,Cyril Amarchand Mangaldas,,5.6,,16,1.8,,0,0,7.6,6.9,8.7,Ranked 3rd,7.9,8,10,8.5,7.1,,7.3,7,7,-,,-,-,-,-,-,-,-,-
IND00401,Infrastructure,Photos/Surya Sreenivasan.webp,Surya Sreenivasan,Partner,Mumbai,Cyril Amarchand Mangaldas,,5.6,,17,1.9,,0,0,7.7,7.9,8.4,Top 10,7.1,7.3,8.8,9.5,7.3,,7.3,8,-,-,,-,-,-,-,-,-,-,-
IND00364,Infrastructure,Ramanuj-Kumar-1.png,Ramanuj Kumar,Partner,Delhi,Cyril Amarchand Mangaldas,,5.5,,18,1.9,,0,0,8.1,7.3,9.5,Ranked 1st,7.9,10,9.9,9,4.9,,6.7,5,3,8.9,,5,10,10,10,10,10,9,10
